"ssvid","ais_imo","poor_id","vessel_id","ais_shipname","ais_callsign","vessel_flag_best","vessel_class_best","geartype_best","trip_id","trip_start","start_port_iso3","start_port_label","trip_start_confidence","trip_duration_days","num_encounters","num_loitering","num_fishing","vessel_id_1","npg_2026_phase_1","npg_2026_phase_2","vv_url"
"412549138",NA,FALSE,"78c85d12e-e26c-d7c5-da14-04e3582b0804","LURONGYUANYU313","BZZU9","CHN","fishing","fishing","412549138-78c85d12e-e26c-d7c5-da14-04e3582b0804-019d2daa0778",2026-03-27 05:00:11,"CHN","SHIDAO",4,34.75,0,6,25,"78c85d12e-e26c-d7c5-da14-04e3582b0804",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/78c85d12e-e26c-d7c5-da14-04e3582b0804?&start=2026-03-01&end=2026-04-30"")"
"412549216","9900758",FALSE,"65e26ce2b-b7cd-d55e-138e-311b1ef1f887","FU YUAN YU8292","BZU6X","CHN","fishing","fishing","412549216-65e26ce2b-b7cd-d55e-138e-311b1ef1f887-019d3e737fd0",2026-03-30 11:14:10,"KOR","BUSAN",4,31.5,0,17,30,"65e26ce2b-b7cd-d55e-138e-311b1ef1f887",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/65e26ce2b-b7cd-d55e-138e-311b1ef1f887?&start=2026-03-01&end=2026-04-30"")"
"412549217","9900760",FALSE,"7c987bd3f-f44c-7b2c-c31b-f049dc208671","FU YUAN YU 8293","BZU7X","CHN","fishing","fishing","412549217-7c987bd3f-f44c-7b2c-c31b-f049dc208671-019d3e724b38",2026-03-30 11:12:51,"KOR","BUSAN",4,31.5,0,17,27,"7c987bd3f-f44c-7b2c-c31b-f049dc208671",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7c987bd3f-f44c-7b2c-c31b-f049dc208671?&start=2026-03-01&end=2026-04-30"")"
"412549267",NA,FALSE,"782089adb-bba2-42c3-8377-b2a4794aa3df","XIN HAI 1258","BZW7S","CHN","fishing","fishing","412549267-782089adb-bba2-42c3-8377-b2a4794aa3df-019d7b7fb420",2026-04-11 07:44:20,"CHN","CHN-2307",4,19.67,0,8,2,"782089adb-bba2-42c3-8377-b2a4794aa3df",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/782089adb-bba2-42c3-8377-b2a4794aa3df?&start=2026-03-01&end=2026-04-30"")"
"412549363",NA,FALSE,"3dfc692ac-c232-93b7-79b7-63b69a1e49a2","FUYUANYU8635","BZ1VR","CHN","fishing","fishing","412549363-3dfc692ac-c232-93b7-79b7-63b69a1e49a2-019d7bb78530",2026-04-11 08:45:18,"CHN","CHN-2307",4,19.63,0,11,16,"3dfc692ac-c232-93b7-79b7-63b69a1e49a2",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3dfc692ac-c232-93b7-79b7-63b69a1e49a2?&start=2026-03-01&end=2026-04-30"")"
"412549364",NA,FALSE,"7fe99c124-4fed-a373-a07a-3f85726e4bb7","FUYUANYU8636","BZ2VR","CHN","fishing","fishing","412549364-7fe99c124-4fed-a373-a07a-3f85726e4bb7-019d7bb39560",2026-04-11 08:41:00,"CHN","CHN-2307",4,19.63,0,9,13,"7fe99c124-4fed-a373-a07a-3f85726e4bb7",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7fe99c124-4fed-a373-a07a-3f85726e4bb7?&start=2026-03-01&end=2026-04-30"")"
"412549366","9933731",FALSE,"d9bc7809f-f1ce-4fa1-82ed-2f6e434eaa17","FUYUANYU  8638","BZW6V","CHN","fishing","fishing","412549366-d9bc7809f-f1ce-4fa1-82ed-2f6e434eaa17-019d8fdd9dd8",2026-04-15 06:39:19,"CHN","NINGBO",4,15.71,0,8,6,"d9bc7809f-f1ce-4fa1-82ed-2f6e434eaa17",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d9bc7809f-f1ce-4fa1-82ed-2f6e434eaa17?&start=2026-03-01&end=2026-04-30"")"
"412549367",NA,FALSE,"0fa812511-131a-c5e2-fc07-02ec71b41e54","FUYUANYU  8639","BZ5VH","CHN","fishing","fishing","412549367-0fa812511-131a-c5e2-fc07-02ec71b41e54-019d8685dcc8",2026-04-13 11:06:53,"CHN","CHN-2289",4,17.5,0,7,15,"0fa812511-131a-c5e2-fc07-02ec71b41e54",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0fa812511-131a-c5e2-fc07-02ec71b41e54?&start=2026-03-01&end=2026-04-30"")"
"412549368",NA,FALSE,"36dc0d122-27d5-9365-db3f-a550776d8e2d","FUYUANYU  8640","BZ6VH","CHN","fishing","fishing","412549368-36dc0d122-27d5-9365-db3f-a550776d8e2d-019d868b2070",2026-04-13 11:12:38,"CHN","CHN-2289",4,17.5,0,7,15,"36dc0d122-27d5-9365-db3f-a550776d8e2d",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/36dc0d122-27d5-9365-db3f-a550776d8e2d?&start=2026-03-01&end=2026-04-30"")"
"412549369","9934539",FALSE,"6fc286d8c-ccab-6bf9-da38-b0730ead5b3c","FUYUANYU 8641","BZ7VX","CHN","fishing","fishing","412549369-6fc286d8c-ccab-6bf9-da38-b0730ead5b3c-019d867a9de0",2026-04-13 10:54:36,"CHN","CHN-2289",4,17.54,0,5,11,"6fc286d8c-ccab-6bf9-da38-b0730ead5b3c",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6fc286d8c-ccab-6bf9-da38-b0730ead5b3c?&start=2026-03-01&end=2026-04-30"")"
