Time Range,mmsi,Entry Timestamp,Exit Timestamp,Vessel Presence Hours
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431372000,2024-08-11T19:00:00Z,2024-08-14T05:00:00Z,23
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431749000,2024-08-11T09:00:00Z,2024-08-17T23:00:00Z,159
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431693000,2024-07-18T00:00:00Z,2024-07-23T05:00:00Z,114
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412331059,2024-07-18T00:00:00Z,2024-08-17T21:00:00Z,391
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431004044,2024-08-11T18:00:00Z,2024-08-13T05:00:00Z,13
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440698,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,686
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431200184,2024-07-21T05:00:00Z,2024-07-29T22:00:00Z,5
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431200140,2024-07-18T03:00:00Z,2024-07-28T15:00:00Z,39
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412421076,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,727
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416229500,2024-07-18T04:00:00Z,2024-07-23T17:00:00Z,38
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",273295580,2024-07-20T01:00:00Z,2024-07-20T03:00:00Z,3
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440424,2024-08-08T23:00:00Z,2024-08-12T09:00:00Z,32
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549576,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,466
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412329678,2024-07-18T13:00:00Z,2024-08-17T23:00:00Z,188
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440253,2024-08-07T23:00:00Z,2024-08-07T23:00:00Z,1
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431001270,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,453
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",432256000,2024-07-18T18:00:00Z,2024-07-27T20:00:00Z,71
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431900202,2024-07-23T20:00:00Z,2024-08-17T23:00:00Z,469
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416000594,2024-07-18T00:00:00Z,2024-08-07T23:00:00Z,385
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431311000,2024-07-18T01:00:00Z,2024-07-28T05:00:00Z,60
