DFO_VOI,ssvid,imo,vessel_id,shipname,callsign,vessel_flag_best,vessel_class_best,geartype_best,trip_id,trip_start,start_port_iso3,start_port_label,trip_start_confidence,trip_duration_days,num_encounters,num_loitering,num_fishing
FALSE,412329637,,9a45f1d38-897e-3316-6296-b842ef1b7e10,LURONGYUANYU     899,BBIR2,CHN,fishing,squid_jigger,412329637-9a45f1d38-897e-3316-6296-b842ef1b7e10-018fa4385f88,2024-05-23 06:51:49.000000 UTC,KOR,BUSAN,4,14.71,0,9,6
FALSE,412329638,8775326,eca1af533-31bd-12c3-45ef-a4412b3d7f7a,LU RONG YUAN YU 998,BBIR1,CHN,fishing,squid_jigger,412329638-eca1af533-31bd-12c3-45ef-a4412b3d7f7a-018fae4007d8,2024-05-25 05:36:23.000000 UTC,KOR,BUSAN,4,12.75,6,15,11
FALSE,412329639,,629c894cc-ca6d-6a1f-aa1f-756f7cfa281e,LURONGYUANYUYUN158,BBZS3,CHN,carrier,carrier,412329639-629c894cc-ca6d-6a1f-aa1f-756f7cfa281e-018f81161860,2024-05-16 11:07:40.000000 UTC,CHN,SHIDAO,4,21.5,3,22,0
FALSE,412329654,8775649,2fbb7e410-03b8-64e3-898c-5e05c66bf6df,LU PENG YUAN YU 027,BZSD5,CHN,fishing,squid_jigger,412329654-2fbb7e410-03b8-64e3-898c-5e05c66bf6df-018fbe6a36d8,2024-05-28 08:56:23.000000 UTC,KOR,BUSAN,4,9.63,0,0,0
TRUE,412329655,9717448,a6a881d9a-a54f-f9f9-7761-f70f2b53cc70,LU HUANG YUAN YU 105,BZTE2,CHN,fishing,squid_jigger,412329655-a6a881d9a-a54f-f9f9-7761-f70f2b53cc70-018fae781b50,2024-05-25 06:37:38.000000 UTC,KOR,BUSAN,4,12.71,0,8,7
TRUE,412329656,9717450,3672d7168-814d-eeab-770e-143fcd530cdc,LU HUANG YUAN YU 106,BZTE3,CHN,fishing,squid_jigger,412329656-3672d7168-814d-eeab-770e-143fcd530cdc-018fadf25150,2024-05-25 04:11:30.000000 UTC,KOR,BUSAN,4,12.79,0,12,10
TRUE,412329657,9717462,e3ea72a40-0055-598c-9bca-503726a7670b,LU HUANG YUAN YU 107,BZTE4,CHN,fishing,squid_jigger,412329657-e3ea72a40-0055-598c-9bca-503726a7670b-018fb449cab0,2024-05-26 09:44:46.000000 UTC,CHN,CHN-170,4,11.58,0,11,6
TRUE,412329658,9717474,ba5fd1665-5eae-a68e-1871-b38eb0011001,LU HUANG YUAN YU 108,BZTE5,CHN,fishing,squid_jigger,412329658-ba5fd1665-5eae-a68e-1871-b38eb0011001-018fb867de70,2024-05-27 04:56:06.000000 UTC,KOR,BUSAN,4,10.79,0,14,7
FALSE,412330149,,160acc07e-e171-8573-79dc-d289cceee5e8,LURONGYUANYUYUN789,BCLN9,CHN,carrier,carrier,412330149-160acc07e-e171-8573-79dc-d289cceee5e8-018fbfa0e600,2024-05-28 14:35:44.000000 UTC,KOR,BUSAN,4,9.38,0,11,5
FALSE,412330931,8775728,bd0d3bcd3-3c03-e966-95b6-0962e0e321a5,LUPENGYUANYU097,BZZY9,CHN,fishing,squid_jigger,412330931-bd0d3bcd3-3c03-e966-95b6-0962e0e321a5-018fa3c788d0,2024-05-23 04:48:34.000000 UTC,CHN,PENGLAI,4,14.79,0,11,10
FALSE,412331041,8775663,952ed626b-b39e-6e5a-a25a-20ad7eba7fcc,LU PENG YUAN YU 029,BZSD7,CHN,fishing,squid_jigger,412331041-952ed626b-b39e-6e5a-a25a-20ad7eba7fcc-018fa3e03150,2024-05-23 05:15:30.000000 UTC,CHN,PENGLAI,4,14.75,0,10,4
FALSE,412331049,8786478,ff22ec196-6fd1-824c-d27d-93c91953074d,LURONGYUANYUYUN 001,BZSU,CHN,carrier,carrier,412331049-ff22ec196-6fd1-824c-d27d-93c91953074d-018f225482f8,2024-04-28 01:31:55.000000 UTC,CHN,CHN-2351,4,39.92,8,45,0
