vessel_id,ssvid,trip_start_timestamp,start_port_iso3,start_port_name,num_encounters,num_fishing,num_AISdisabling,percent_ais_voyage,possible_spoofing
a9cf96408-853f-b405-82d7-fc6da1577f75,416231500,2024-11-06 23:32:01.000000 UTC,TWN,DONGGANG,0,0,0,,FALSE
46e8e8426-6515-4227-1d0f-41cab018bba3,416232800,2024-10-16 01:19:33.000000 UTC,TWN,DONGGANG,0,25,0,56.3,FALSE
ebd594847-7f2c-8856-13de-015f112d85cd,416237800,2024-11-01 07:54:30.000000 UTC,TWN,DONGGANG,0,0,0,,TRUE
4654b2681-1d9b-202d-1b0d-1efa45362f0f,416242800,2024-10-23 06:31:11.000000 UTC,CHN,HONGKONG,0,0,0,56.1,FALSE
f758b5db8-81a8-a89e-5d26-42968b7c0380,431002571,2024-02-02 03:10:10.000000 UTC,JPN,NAHA,0,0,0,,FALSE
92cf7c26f-fa87-d736-99f4-61ac7a46f37c,431002571,2024-10-18 02:04:15.000000 UTC,JPN,NAHA,0,0,0,10.6,FALSE
1ed81c3df-f477-94ef-35a3-8f162a91b76b,431010018,2024-10-25 01:54:53.000000 UTC,JPN,NAHA,0,0,0,18.3,FALSE
43f5a8906-6c6e-97e4-2aa2-6cccb086068b,431011377,2024-10-19 23:20:20.000000 UTC,JPN,KATSUURA,0,12,0,26.6,FALSE
f46b4c5a9-9262-8d3c-7493-b49cbb83ad8c,431015619,2024-10-11 02:44:11.000000 UTC,JPN,YAIZU,0,0,0,8.9,FALSE
b28a1db1f-f425-d964-952d-40753c2e118d,431200460,2024-04-03 23:48:12.000000 UTC,JPN,SHIOGAMA,0,0,0,,FALSE
a3015a96c-ccf5-ca93-c328-73404d52ba67,431200460,2024-11-06 21:00:06.000000 UTC,JPN,KATSUURA,0,0,0,,FALSE
64fd74255-576d-e7fe-7029-61c7ea3790da,431301296,2024-01-28 05:40:04.000000 UTC,JPN,NAHA,0,3,0,,FALSE
c860407a1-195a-b412-e876-0d2c84b2571d,431301296,2024-11-06 23:59:29.000000 UTC,JPN,NAHA,0,0,0,,FALSE
f55782f95-5912-06c9-5e31-56e6ea018899,431500880,2024-10-26 21:35:04.000000 UTC,JPN,KATSUURA,0,0,0,10.5,FALSE
5693a6699-9bfd-dc80-929f-f1e9f16bfbb1,431600420,2024-10-26 23:53:08.000000 UTC,JPN,ITOMAN,0,3,0,23.5,FALSE
16d9e2924-4936-fe33-2fad-bb58e94be993,431635000,2024-11-06 23:57:00.000000 UTC,JPN,MAKURAZAKI,0,0,0,,FALSE
c23546ad4-40a1-29b3-3718-16f5c5138606,431680124,2024-01-13 07:43:28.000000 UTC,JPN,NAHA,0,2,0,,FALSE
6d302e3c4-47a3-aebd-4005-594775c5952e,431680124,2024-10-20 06:39:08.000000 UTC,JPN,NAHA,0,4,0,12.1,FALSE
89dd6fed3-30a0-a30e-3bcb-1fc1faa06d39,431680156,2024-03-19 08:35:02.000000 UTC,JPN,NAHA,0,0,0,,FALSE
a90b716e3-3df4-242a-205c-b743101e19b8,431680156,2024-11-02 23:35:30.000000 UTC,JPN,NAHA,0,1,0,20.6,FALSE
5517d0826-6479-0972-e000-30ceb2144fbf,431680230,2023-10-12 06:22:41.000000 UTC,JPN,NAHA,0,4,0,,FALSE
c209de02f-f57f-3036-6500-ce7f6ff0a5fa,431680230,2024-10-26 04:44:50.000000 UTC,JPN,NAHA,0,5,0,19.9,FALSE
b8b6261ec-c810-3b89-d69c-591869ee3982,431680580,2024-01-11 00:29:05.000000 UTC,JPN,NAHA,0,4,0,,FALSE
3fc02ae44-4866-0d87-e308-966ba3c25656,431680580,2024-11-06 23:59:07.000000 UTC,JPN,NAHA,0,0,0,,FALSE
52bb8db67-7a84-d112-3b97-1ea4f78c82d1,431680630,2024-10-09 23:55:31.000000 UTC,JPN,NAHA,0,3,0,16,FALSE
e378949c9-9ff0-2bfb-3904-cfe4febdc316,431680680,2024-10-11 21:26:13.000000 UTC,JPN,KATSUURA,0,6,0,14.9,FALSE
ab5fce247-7622-859d-9f8c-5a1b60497b05,431680790,2024-11-05 12:32:38.000000 UTC,JPN,KATSUURA,0,0,0,,FALSE
75f8c0fec-c7f0-de39-e22d-7bdaab139ca7,525201323,2024-09-26 14:34:15.000000 UTC,IDN,JAKARTA,0,4,0,19.4,FALSE
2488e22ce-e59b-fd41-b618-f200084fb255,525700988,2024-07-04 03:02:44.000000 UTC,IDN,JAKARTA,0,9,1,15.7,FALSE
acffb2589-921c-b558-051a-20ab1f430c68,525900560,2024-01-19 11:40:04.000000 UTC,IDN,BENOA,0,0,0,,FALSE
533f354df-fe16-a155-a299-c4578a05c0d4,525900560,2024-05-04 17:45:20.000000 UTC,IDN,BIAK,0,119,3,39.6,FALSE
0d0bc1fef-f6ea-1f09-97c7-a908b0cf01fe,525900848,2024-04-25 14:18:04.000000 UTC,IDN,JAKARTA,0,102,3,46.8,FALSE
